2025/11/20 02:02:03 [warn] 191#191: 512 worker_connections are not enough, reusing connections
2025/11/20 02:02:03 [warn] 190#190: 512 worker_connections are not enough, reusing connections
2025/11/20 02:02:03 [alert] 191#191: 512 worker_connections are not enough
2025/11/20 02:06:53 [error] 228#228: *1165 open() "/var/www/html/v2/api-docs" failed (2: No such file or directory), client: 209.38.208.202, server: localhost-nginx-proxy-manager, request: "GET /v2/api-docs HTTP/1.1", host: "www.deanhauser.me"
2025/11/20 02:06:53 [error] 228#228: *1168 open() "/var/www/html/v2/api-docs" failed (2: No such file or directory), client: 46.101.111.185, server: localhost-nginx-proxy-manager, request: "GET /v2/api-docs HTTP/1.1", host: "deanhauser.me"
2025/11/20 02:06:53 [error] 228#228: *1170 open() "/var/www/html/v3/api-docs" failed (2: No such file or directory), client: 209.38.208.202, server: localhost-nginx-proxy-manager, request: "GET /v3/api-docs HTTP/1.1", host: "www.deanhauser.me"
2025/11/20 02:06:54 [error] 228#228: *1173 open() "/var/www/html/api-docs/swagger.json" failed (2: No such file or directory), client: 209.38.208.202, server: localhost-nginx-proxy-manager, request: "GET /api-docs/swagger.json HTTP/1.1", host: "www.deanhauser.me"
2025/11/20 02:06:54 [error] 228#228: *1174 open() "/var/www/html/v3/api-docs" failed (2: No such file or directory), client: 46.101.111.185, server: localhost-nginx-proxy-manager, request: "GET /v3/api-docs HTTP/1.1", host: "deanhauser.me"
2025/11/20 02:06:54 [error] 227#227: *1177 open() "/var/www/html/api/swagger.json" failed (2: No such file or directory), client: 209.38.208.202, server: localhost-nginx-proxy-manager, request: "GET /api/swagger.json HTTP/1.1", host: "www.deanhauser.me"
2025/11/20 02:06:54 [error] 227#227: *1178 open() "/var/www/html/api-docs/swagger.json" failed (2: No such file or directory), client: 46.101.111.185, server: localhost-nginx-proxy-manager, request: "GET /api-docs/swagger.json HTTP/1.1", host: "deanhauser.me"
2025/11/20 02:06:55 [error] 227#227: *1183 open() "/var/www/html/api/swagger.json" failed (2: No such file or directory), client: 46.101.111.185, server: localhost-nginx-proxy-manager, request: "GET /api/swagger.json HTTP/1.1", host: "deanhauser.me"
2025/11/20 02:06:55 [error] 227#227: *1181 open() "/var/www/html/@vite/env" failed (2: No such file or directory), client: 209.38.208.202, server: localhost-nginx-proxy-manager, request: "GET /@vite/env HTTP/1.1", host: "www.deanhauser.me"
2025/11/20 02:06:55 [error] 227#227: *1186 open() "/var/www/html/@vite/env" failed (2: No such file or directory), client: 46.101.111.185, server: localhost-nginx-proxy-manager, request: "GET /@vite/env HTTP/1.1", host: "deanhauser.me"
2025/11/20 02:06:55 [error] 227#227: *1187 open() "/var/www/html/actuator/env" failed (2: No such file or directory), client: 209.38.208.202, server: localhost-nginx-proxy-manager, request: "GET /actuator/env HTTP/1.1", host: "www.deanhauser.me"
2025/11/20 02:06:55 [error] 227#227: *1190 open() "/var/www/html/server" failed (2: No such file or directory), client: 209.38.208.202, server: localhost-nginx-proxy-manager, request: "GET /server HTTP/1.1", host: "www.deanhauser.me"
2025/11/20 02:06:55 [error] 227#227: *1191 open() "/var/www/html/actuator/env" failed (2: No such file or directory), client: 46.101.111.185, server: localhost-nginx-proxy-manager, request: "GET /actuator/env HTTP/1.1", host: "deanhauser.me"
2025/11/20 02:06:56 [error] 227#227: *1194 open() "/var/www/html/.vscode/sftp.json" failed (2: No such file or directory), client: 209.38.208.202, server: localhost-nginx-proxy-manager, request: "GET /.vscode/sftp.json HTTP/1.1", host: "www.deanhauser.me"
2025/11/20 02:06:56 [error] 227#227: *1195 open() "/var/www/html/server" failed (2: No such file or directory), client: 46.101.111.185, server: localhost-nginx-proxy-manager, request: "GET /server HTTP/1.1", host: "deanhauser.me"
2025/11/20 02:06:56 [error] 227#227: *1198 open() "/var/www/html/about" failed (2: No such file or directory), client: 209.38.208.202, server: localhost-nginx-proxy-manager, request: "GET /about HTTP/1.1", host: "www.deanhauser.me"
